ERR_Rate,ERR_Type,Changed_Param,Original_PPL,Modified_PPL,Total_Errors,Corrected_Errors
1e-07,1,310,6.196449071123441,6.393596671375797,310,0
1e-07,2,319,6.196449071123441,6.400118888154854,319,0
1e-07,3,327,6.196449071123441,6.4089928444685755,327,0
1e-07,4,320,6.196449071123441,6.556249115522994,320,0
1e-07,5,307,6.196449071123441,6.443118560757816,307,0
1e-07,6,266,6.196449071123441,6.046897242961617,266,0
1e-07,7,324,6.196449071123441,6.461219925295502,324,0
1e-07,8,353,6.196449071123441,6.361298237767955,353,0
1e-07,9,5245,6.196449071123441,6.524533541601316,47,5202
1e-07,10,353,6.196449071123441,5.9816896845264385,353,0
1e-07,11,294,6.196449071123441,6.050155625078688,294,0
1e-07,12,225,6.196449071123441,6.310874826359059,225,0
1e-07,13,171,6.196449071123441,6.332581751121746,171,0
1e-07,14,170,6.196449071123441,6.131788424272644,170,0
1e-07,15,103,6.196449071123441,6.030852344663131,103,0
1e-07,16,43,6.196449071123441,6.201199089152343,43,0
1e-07,17,2800,6.196449071123441,6.380689308066624,41,2767
1e-07,18,45,6.196449071123441,6.1466757808200585,45,4
1e-07,19,133893171,6.196449071123441,20.430099074314402,54,54
1e-08,0,40,6.196449071123441,6.448790251031147,40,0
1e-08,1,37,6.196449071123441,6.328020763274495,37,0
1e-08,2,36,6.196449071123441,6.226308563881162,36,0
1e-08,3,41,6.196449071123441,6.167159166665755,41,0
1e-08,4,46,6.196449071123441,6.286453908935267,46,0
1e-08,5,39,6.196449071123441,6.015443029790883,39,0
1e-08,6,27,6.196449071123441,6.281619117554402,27,0
1e-08,7,39,6.196449071123441,6.072702944169431,39,0
1e-08,8,104,6.196449071123441,6.025433302317772,104,0
1e-08,9,5222,6.196449071123441,6.440510690397241,20,5202
1e-08,10,94,6.196449071123441,6.2300356927625105,94,0
1e-08,11,78,6.196449071123441,6.183603562136781,78,0
1e-08,12,81,6.196449071123441,6.160046702978282,81,0
1e-08,13,54,6.196449071123441,6.169523967385563,54,0
1e-08,14,44,6.196449071123441,6.195889181306861,44,0
1e-08,15,34,6.196449071123441,6.1037587322916576,34,0
1e-08,16,13,6.196449071123441,6.105106442079211,13,0
1e-08,17,2785,6.196449071123441,6.204172287885194,18,2767
1e-08,18,17,6.196449071123441,6.140975503546056,17,0
1e-08,19,133893171,6.196449071123441,20.430099074314402,14,14
1e-09,0,19,6.196449071123441,6.1474818486070495,19,0
1e-09,1,10,6.196449071123441,6.0760353499885795,10,0
1e-09,2,19,6.196449071123441,6.192354475621698,19,0
1e-09,3,15,6.196449071123441,6.078274635203669,15,0
1e-09,4,11,6.196449071123441,6.11019796732321,11,0
1e-09,5,21,6.196449071123441,6.118195846481816,21,0
1e-09,6,14,6.196449071123441,6.203997006353231,14,0
1e-09,7,11,6.196449071123441,6.174053148944527,11,0
1e-09,8,98,6.196449071123441,6.262776237449627,98,0
1e-09,9,5215,6.196449071123441,6.415449699826354,15,5202
1e-09,10,85,6.196449071123441,5.966151361790517,85,0
1e-09,11,65,6.196449071123441,6.221445121623724,65,0
1e-09,12,54,6.196449071123441,6.160320615945082,54,0
1e-09,13,45,6.196449071123441,6.082013928225908,45,0
1e-09,14,29,6.196449071123441,6.078690562257395,29,0
1e-09,15,21,6.196449071123441,6.119462121777853,21,0
1e-09,16,12,6.196449071123441,6.008171048719731,12,0
1e-09,17,2782,6.196449071123441,6.128853566826938,17,2767
1e-09,18,10,6.196449071123441,6.196454241845639,10,0
1e-09,19,133893171,6.196449071123441,20.430099074314402,12,12
